time,U1,U2,U3
0.379,0.791752,1.00022,1.00023
0.38,0.790243,1.00022,1.00023
0.381,0.792548,1.00022,1.00023
0.382,0.791651,1.00022,1.00022
0.383,0.79229,1.00022,1.00023
0.384,0.791254,1.00022,1.00023
0.385,0.791908,1.00022,1.00023
0.386,0.787918,1.00022,1.00023
0.387,0.792712,1.00022,1.00023
0.388,0.792182,1.00022,1.00023
0.389,0.792098,1.00022,1.00023
0.39,0.792153,1.00022,1.00023
0.391,0.792166,1.00022,1.00023
0.392,0.791722,1.00022,1.00023
0.393,0.791931,1.00022,1.00023
0.394,0.792349,1.00022,1.00024
0.395,0.79182,1.00022,1.00024
0.396,0.791867,1.00022,1.00024
0.397,0.791697,1.00022,1.00025
0.398,0.790483,1.00022,1.00027
0.399,0.792334,1.00023,1.00031
0.4,0.791153,1.00026,1.0005
0.401,0.827502,1.00016,0.999942
0.402,0.79331,1.00019,1.00012
0.403,0.792968,1.0002,1.00015
0.404,0.792832,1.0002,1.00017
0.405,0.792579,1.0002,1.00018
0.406,0.7922,1.0002,1.00018
0.407,0.792486,1.0002,1.00019
0.408,0.79222,1.0002,1.00019
0.409,0.792451,1.0002,1.00019
0.41,0.791655,1.0002,1.00019
0.411,0.792217,1.0002,1.00019
0.412,0.791911,1.0002,1.00019
0.413,0.79277,1.0002,1.00019
0.414,0.792177,1.0002,1.00019
0.415,0.792399,1.0002,1.00019
0.416,0.792157,1.0002,1.00019
0.417,0.791567,1.00019,1.00019
0.418,0.79214,1.00019,1.00019
0.419,0.792132,1.00019,1.00019
0.42,0.791958,1.00019,1.00019
0.421,0.792263,1.00019,1.00019
0.422,0.791994,1.00019,1.00019
0.423,0.792104,1.00019,1.00019
0.424,0.791776,1.00019,1.00019
0.425,0.792128,1.00018,1.00019
0.426,0.792087,1.00018,1.00018
0.427,0.791991,1.00018,1.00018
0.428,0.791784,1.00018,1.00018
0.429,0.792069,1.00018,1.00018
0.43,0.792334,1.00018,1.00018
0.431,0.79228,1.00017,1.00018
0.432,0.792373,1.00017,1.00018
0.433,0.792068,1.00017,1.00018
0.434,0.792134,1.00017,1.00017
0.435,0.792071,1.00017,1.00017
0.436,0.79224,1.00016,1.00017
0.437,0.792014,1.00016,1.00017
0.438,0.792121,1.00016,1.00017
0.439,0.790894,1.00016,1.00017
0.44,0.791112,1.00015,1.00016
0.441,0.790774,1.00015,1.00016
0.442,0.790378,1.00014,1.00016
0.443,0.790284,1.00014,1.00016
0.444,0.791952,1.00014,1.00015
0.445,0.789601,1.00013,1.00015
0.446,0.791742,1.00013,1.00015
0.447,0.791364,1.00012,1.00016
0.448,0.790734,1.00012,1.00016
0.449,0.791561,1.00011,1.00018
0.45,0.79106,1.0001,1.00031
0.451,0.781786,1.00011,0.999915
0.452,0.793536,1.0001,1.00003
0.453,0.792634,1.00009,1.00005
0.454,0.792442,1.00008,1.00005
0.455,0.792306,1.00007,1.00005
0.456,0.792313,1.00006,1.00004
0.457,0.792336,1.00004,1.00003
0.458,0.792253,1.00003,1.00002
0.459,0.792144,1.00001,1.00001
0.46,0.792167,0.999995,0.99999
0.461,0.792192,0.999975,0.99997
0.462,0.792216,0.999951,0.999947
0.463,0.791521,0.999923,0.999921
0.464,0.790683,0.999889,0.999888
0.465,0.792139,0.99985,0.999849
0.466,0.790915,0.999802,0.999802
0.467,0.79154,0.999741,0.999742
0.468,0.792097,0.999665,0.999667
0.469,0.790895,0.999566,0.999567
0.47,0.789421,0.999429,0.999432
0.471,0.789179,0.999234,0.999237
0.472,0.789728,0.998932,0.998935
0.473,0.790883,0.998404,0.998408
0.474,0.791457,0.997261,0.997266
0.475,0.790316,0.993002,0.993007
0.476,0.791995,1.02122,1.02122
0.477,0.792045,1.00476,1.00477
0.478,0.792024,1.00286,1.00287
0.479,0.791996,1.00213,1.00214
0.48,0.791968,1.00175,1.00176
0.481,0.792005,1.00152,1.00153
0.482,0.791974,1.00137,1.00138
0.483,0.791388,1.00127,1.00128
0.484,0.791355,1.0012,1.00121
0.485,0.789629,1.00115,1.00116
0.486,0.791321,1.00112,1.00113
0.487,0.790737,1.0011,1.00112
0.488,0.78753,1.0011,1.00111
0.489,0.788415,1.00111,1.00112
0.49,0.78847,1.00113,1.00115
0.491,0.784272,1.00117,1.00119
0.492,0.783938,1.00123,1.00125
0.493,0.724209,1.00132,1.00133
0.494,0.792798,1.00144,1.00145
0.495,0.792347,1.00161,1.00163
0.496,0.792202,1.00187,1.0019
0.497,0.792112,1.00231,1.00234
0.498,0.792051,1.00312,1.00316
0.499,0.791932,1.00516,1.00522
0.5,0.791754,1.01845,1.01864
